Point,Feature name,"Importance, %"
Точка продаж 3,calc_min_departure_gate,0.128645160366996
Точка продаж 3,calc_max_departure_gate,0.9729227434299415
Точка продаж 3,calc_elev1C_departure_gate,0.0
Точка продаж 3,calc_elev2C_departure_gate,0.19613743443318307
Точка продаж 3,calc_elev3C_departure_gate,0.21876335952383583
Точка продаж 3,calc_elev1B_departure_gate,4.5330717254432
Точка продаж 3,calc_elev2B_departure_gate,0.3392174866801285
Точка продаж 3,calc_elev3B_departure_gate,2.075657748738928
Точка продаж 28,day_of_week,6.572395208329564
Точка продаж 28,day_of_year,2.0530632166221934
Точка продаж 28,day,4.136887112597405
Точка продаж 28,month,0.0
Точка продаж 28,hour,24.762308709474972
Точка продаж 28,minutes,0.7062350028965959
Точка продаж 28,mean_revenue,0.0
Точка продаж 28,is_weekend,1.205300279247673
Точка продаж 28,SVO_temp,2.5704750815288673
Точка продаж 28,SVO_wind,1.4975040564635285
Точка продаж 28,SVO_visibility,0.005674695009684795
Точка продаж 28,SVO_sky_coverage,0.17858321550081022
Точка продаж 28,int_point,0.0
Точка продаж 28,count_flights,2.8546774914909463
Точка продаж 28,count_B_flights,0.5762164435361288
Точка продаж 28,count_C_flights,3.4517422436381953
Точка продаж 28,count_SU_flights,0.3648347278981515
Точка продаж 28,count_FV_flights,0.8664586549058731
Точка продаж 28,count_domestic_flights,2.2003488477752278
Точка продаж 28,count_international_flights,7.5898996191702
Точка продаж 28,calc_sum_seats,2.272397707006916
Точка продаж 28,calc_sum_seats_c,2.9876140492435987
Точка продаж 28,calc_sum_seats_w,1.274487470810375
Точка продаж 28,calc_sum_seats_y,1.0932237034268255
Точка продаж 28,calc_avg_distance,2.067572507688776
Точка продаж 28,calc_avg_temp,0.8451844081785126
Точка продаж 28,calc_avg_lat,2.8213986185587148
Точка продаж 28,calc_avg_lon,2.2858459180989823
Точка продаж 28,calc_avg_boarding_time,8.119381359234023
Точка продаж 28,calc_avg_delay_time,3.2348128486045695
Точка продаж 28,calc_avg_departure_gate,4.801385986788571
Точка продаж 28,calc_min_departure_gate,0.7469728932785428
Точка продаж 28,calc_max_departure_gate,2.924114421907891
Точка продаж 28,calc_elev1C_departure_gate,0.0
Точка продаж 28,calc_elev2C_departure_gate,0.3278010110839019
Точка продаж 28,calc_elev3C_departure_gate,0.7520441925149002
Точка продаж 28,calc_elev1B_departure_gate,0.5418047841873986
Точка продаж 28,calc_elev2B_departure_gate,0.2838121705425591
Точка продаж 28,calc_elev3B_departure_gate,1.0275413427589746
Точка продаж 22,day_of_week,3.0543053466985586
Точка продаж 22,day_of_year,6.6137394818409785
Точка продаж 22,day,3.844113506176408
Точка продаж 22,month,0.0
Точка продаж 22,hour,11.729030874997918
Точка продаж 22,minutes,2.11735967547285
Точка продаж 22,mean_revenue,0.0
Точка продаж 22,is_weekend,1.0048366864617697
Точка продаж 22,SVO_temp,6.894643278014202
Точка продаж 22,SVO_wind,1.3946697564258472
Точка продаж 22,SVO_visibility,0.258687197540033
Точка продаж 22,SVO_sky_coverage,1.4492936461782577
Точка продаж 22,int_point,0.0
Точка продаж 22,count_flights,2.0636384098029756
Точка продаж 22,count_B_flights,3.681519658133078
Точка продаж 22,count_C_flights,2.4113300940555256
Точка продаж 22,count_SU_flights,1.3851797820537146
Точка продаж 22,count_FV_flights,1.0228108602368635
Точка продаж 22,count_domestic_flights,0.829734942897378
Точка продаж 22,count_international_flights,1.5596973595194685
Точка продаж 22,calc_sum_seats,1.7100352498448212
Точка продаж 22,calc_sum_seats_c,3.0328616178954224
Точка продаж 22,calc_sum_seats_w,2.1704328634311043
Точка продаж 22,calc_sum_seats_y,4.846197010262887
Точка продаж 22,calc_avg_distance,0.9274535473533121
Точка продаж 22,calc_avg_temp,4.978283666563196
Точка продаж 22,calc_avg_lat,1.696051178297921
Точка продаж 22,calc_avg_lon,4.6197342450867716
Точка продаж 22,calc_avg_boarding_time,9.97241283636297
Точка продаж 22,calc_avg_delay_time,1.970801624955218
Точка продаж 22,calc_avg_departure_gate,3.8562421500044546
Точка продаж 22,calc_min_departure_gate,1.4354913621274095
Точка продаж 22,calc_max_departure_gate,1.5186864826442512
Точка продаж 22,calc_elev1C_departure_gate,0.0
Точка продаж 22,calc_elev2C_departure_gate,0.5633652689819544
Точка продаж 22,calc_elev3C_departure_gate,0.26726352656167685
Точка продаж 22,calc_elev1B_departure_gate,0.5108114906113763
Точка продаж 22,calc_elev2B_departure_gate,2.8790338846243313
Точка продаж 22,calc_elev3B_departure_gate,1.7302514378850726
Точка продаж 13,day_of_week,3.101124752357179
Точка продаж 13,day_of_year,3.294733891420536
Точка продаж 13,day,4.737846268473344
Точка продаж 13,month,0.0
Точка продаж 13,hour,9.91322755902963
Точка продаж 13,minutes,3.5210322589519625
Точка продаж 13,mean_revenue,0.0
Точка продаж 13,is_weekend,2.6822432436618566
Точка продаж 13,SVO_temp,1.710951295098611
Точка продаж 13,SVO_wind,4.049750533926272
Точка продаж 13,SVO_visibility,0.0
Точка продаж 13,SVO_sky_coverage,0.11555983001151947
Точка продаж 13,int_point,0.0
Точка продаж 13,count_flights,1.3066233480841385
Точка продаж 13,count_B_flights,1.8065946319699715
Точка продаж 13,count_C_flights,2.000487915199243
Точка продаж 13,count_SU_flights,0.17615930947971642
Точка продаж 13,count_FV_flights,1.3650341301804478
Точка продаж 13,count_domestic_flights,1.9984677179820134
Точка продаж 13,count_international_flights,2.104325052222588
Точка продаж 13,calc_sum_seats,4.223120027444647
Точка продаж 13,calc_sum_seats_c,1.9187696392179252
Точка продаж 13,calc_sum_seats_w,4.64689174255029
Точка продаж 13,calc_sum_seats_y,2.477094818139511
Точка продаж 13,calc_avg_distance,3.8748293723531053
Точка продаж 13,calc_avg_temp,1.1527740123052106
Точка продаж 13,calc_avg_lat,3.314240370312609
Точка продаж 13,calc_avg_lon,5.643777585021085
Точка продаж 13,calc_avg_boarding_time,7.371294175986592
Точка продаж 13,calc_avg_delay_time,5.681440729728842
Точка продаж 13,calc_avg_departure_gate,5.24228559625895
Точка продаж 13,calc_min_departure_gate,0.4443161616764599
Точка продаж 13,calc_max_departure_gate,4.566167290285984
